drugbank_id,name,smiles,type
DB00001,Lepirudin,,biotech
DB00002,Cetuximab,,biotech
DB00003,Dornase alfa,,biotech
DB00004,Denileukin diftitox,,biotech
DB00005,Etanercept,,biotech
DB00006,Bivalirudin,CC[C@H](C)[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)[C@H](CC(O)=O)NC(=O)CNC(=O)[C@H](CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1=CC=CC=C1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(O)=O,small molecule
DB00007,Leuprolide,,biotech
DB00008,Peginterferon alfa-2a,,biotech
DB00009,Alteplase,,biotech
DB00010,Sermorelin,,biotech
DB00011,Interferon alfa-n1,,biotech
DB00012,Darbepoetin alfa,,biotech
DB00013,Urokinase,,biotech
DB00014,Goserelin,CC(C)C[C@H](NC(=O)[C@@H](COC(C)(C)C)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC2=CC=CC=C12)NC(=O)[C@H](CC1=CN=CN1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NNC(N)=O,small molecule
DB00015,Reteplase,,biotech
DB00016,Erythropoietin,,biotech
DB00017,Salmon calcitonin,,biotech
DB00018,Interferon alfa-n3,,biotech
DB00019,Pegfilgrastim,,biotech
DB00020,Sargramostim,,biotech
DB00022,Peginterferon alfa-2b,,biotech
DB00023,Asparaginase Escherichia coli,,biotech
DB00024,Thyrotropin alfa,,biotech
DB00025,"Antihemophilic factor, human recombinant",,biotech
DB00026,Anakinra,,biotech
DB00027,Gramicidin D,CC(C)C[C@@H](NC(=O)CNC(=O)[C@@H](NC=O)C(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCCO,small molecule
DB00028,Human immunoglobulin G,,biotech
DB00029,Anistreplase,,biotech
DB00030,Insulin human,,biotech
DB00031,Tenecteplase,,biotech
DB00032,Menotropins,,biotech
DB00033,Interferon gamma-1b,,biotech
DB00034,Interferon alfa-2a,,biotech
DB00035,Desmopressin,NC(=O)CC[C@@H]1NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)CCSSC[C@H](NC(=O)[C@H](CC(N)=O)NC1=O)C(=O)N1CCC[C@H]1C(=O)N[C@H](CCCNC(N)=N)C(=O)NCC(N)=O,small molecule
DB00036,Coagulation factor VIIa Recombinant Human,,biotech
DB00038,Oprelvekin,,biotech
DB00039,Palifermin,,biotech
DB00040,Glucagon,,biotech
DB00041,Aldesleukin,,biotech
DB00042,Botulinum toxin type B,,biotech
DB00043,Omalizumab,,biotech
DB00044,Lutropin alfa,,biotech
DB00045,Lyme disease vaccine (recombinant OspA),,biotech
DB00046,Insulin lispro,,biotech
DB00047,Insulin glargine,,biotech
DB00048,Collagenase clostridium histolyticum,,biotech
DB00049,Rasburicase,,biotech
DB00050,Cetrorelix,CC(C)C[C@H](NC(=O)[C@@H](CCCNC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=CC=CC=C2C=C1)NC(C)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,small molecule
DB00051,Adalimumab,,biotech
DB00052,Somatotropin,,biotech
DB00053,Imiglucerase,,biotech
DB00054,Abciximab,,biotech
DB00055,Drotrecogin alfa,,biotech
DB00056,Gemtuzumab ozogamicin,,biotech
DB00057,Indium In-111 satumomab pendetide,,biotech
DB00058,Alpha-1-proteinase inhibitor,,biotech
DB00059,Pegaspargase,,biotech
DB00060,Interferon beta-1a,,biotech
DB00061,Pegademase,,biotech
DB00062,Albumin human,,biotech
DB00063,Eptifibatide,,biotech
DB00065,Infliximab,,biotech
DB00066,Follitropin,,biotech
DB00067,Vasopressin,,biotech
DB00068,Interferon beta-1b,,biotech
DB00069,Interferon alfacon-1,,biotech
DB00070,Hyaluronidase (ovine),,biotech
DB00071,Insulin pork,,biotech
DB00072,Trastuzumab,,biotech
DB00073,Rituximab,,biotech
DB00074,Basiliximab,,biotech
DB00075,Muromonab,,biotech
DB00076,Digoxin Immune Fab (Ovine),,biotech
DB00078,Ibritumomab tiuxetan,,biotech
DB00080,Daptomycin,CCCCCCCCCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@H](CC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@H]1[C@@H](C)OC(=O)[C@H](CC(=O)C2=CC=CC=C2N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CCCN)NC(=O)CNC1=O)[C@H](C)CC(O)=O,small molecule
DB00081,Tositumomab,,biotech
DB00082,Pegvisomant,,biotech
DB00083,Botulinum toxin type A,,biotech
DB00085,Pancrelipase,,biotech
DB00086,Streptokinase,,biotech
DB00087,Alemtuzumab,,biotech
DB00088,Alglucerase,,biotech
DB00089,Capromab pendetide,,biotech
DB00090,Laronidase,,biotech
DB00091,Cyclosporine,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C\C=C\C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,small molecule
DB00092,Alefacept,,biotech
DB00093,Felypressin,,biotech
DB00094,Urofollitropin,,biotech
DB00095,Efalizumab,,biotech
DB00097,Choriogonadotropin alfa,,biotech
DB00098,Antithymocyte immunoglobulin (rabbit),,biotech
DB00099,Filgrastim,,biotech
DB00100,Coagulation Factor IX (Recombinant),,biotech
DB00102,Becaplermin,,biotech
DB00103,Agalsidase beta,,biotech
DB00104,Octreotide,,biotech
DB00105,Interferon alfa-2b,,biotech
DB00106,Abarelix,CC(C)C[C@H](NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CC1=CC=C(O)C=C1)N(C)C(=O)[C@H](CO)NC(=O)[C@@H](CC1=CN=CC=C1)NC(=O)[C@@H](CC1=CC=C(Cl)C=C1)NC(=O)[C@@H](CC1=CC2=C(C=CC=C2)C=C1)NC(C)=O)C(=O)N[C@@H](CCCCNC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,small molecule
DB00107,Oxytocin,,biotech
DB00108,Natalizumab,,biotech
DB00109,Enfuvirtide,,biotech
DB00110,Palivizumab,,biotech
DB00111,Daclizumab,,biotech
DB00112,Bevacizumab,,biotech
DB00113,Technetium Tc-99m arcitumomab,,biotech
DB00114,Pyridoxal phosphate,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,small molecule
DB00115,Cyanocobalamin,C[C@H](CNC(=O)CC[C@]1(C)[C@@H](CC(N)=O)[C@H]2N=C1\C(C)=C1/N=C(/C=C3\N=C(\C(\C)=C4\[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@]2(C)N4[Co+]C#N)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]1CCC(N)=O)OP([O-])(=O)O[C@@H]1[C@@H](CO)O[C@@H]([C@@H]1O)N1C=NC2=C1C=C(C)C(C)=C2,small molecule
DB00116,Tetrahydrofolic acid,NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,small molecule
DB00117,Histidine,N[C@@H](CC1=CNC=N1)C(O)=O,small molecule
DB00118,Ademetionine,C[S+](CC[C@H](N)C([O-])=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,small molecule
DB00119,Pyruvic acid,CC(=O)C(O)=O,small molecule
DB00120,Phenylalanine,N[C@@H](CC1=CC=CC=C1)C(O)=O,small molecule
DB00121,Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,small molecule
DB00122,Choline,C[N+](C)(C)CCO,small molecule
DB00123,Lysine,NCCCC[C@H](N)C(O)=O,small molecule
DB00125,Arginine,N[C@@H](CCCNC(N)=N)C(O)=O,small molecule
DB00126,Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,small molecule
DB00127,Spermine,NCCCNCCCCNCCCN,small molecule
DB00128,Aspartic acid,N[C@@H](CC(O)=O)C(O)=O,small molecule
